date|time|description|vendor|amount
2022-01-10|10:30:46|Phone Bill|MobileTel|-50.00
2022-04-15|14:45:46|Grocery Shopping|LocalMart|-75.25
2022-07-20|08:15:46|Electricity Bill|PowerCo|-80.50
2022-10-05|11:00:46|Car Loan Payment|AutoBank|-300.00
2022-12-01|16:20:31|Internet Subscription|TechNet|-55.75
2023-01-15|09:30:19|Medical Bills|Health Clinic|-180.00
2023-02-14|12:45:12|Gasoline|QuickFuel|-40.00
2023-03-20|15:15:12|Insurance Premium|InsureCo|-150.00
2023-04-08|13:00:21|Credit Card Payment|Bank|500.00
2023-05-12|10:15:32|Home Rent|Property Mgmt|-1200.00
2023-07-07|15:30:45|Dentist Appointment|SmileClinic|-120.00
2023-09-22|14:30:55|Online Shopping|eShop|-90.75
2023-10-10|07:00:23|Restaurant Dinner|Foodie Haven|-65.20
2023-10-20|11:45:32|Savings Deposit|Bank|1000.00
2023-10-25|08:00:23|Salary Payment|Employer|2800.00
2023-10-27|14:18:45|paycheck|target|300.00
2023-10-27|14:19:05|lunch|bojangles|-10.81
